longitude,latitude
139.48026,35.538163
139.374897,35.601385
139.381619,35.598585
139.407004,35.579207
139.417207,35.581201
139.298898,35.609801
139.364987,35.602798
139.2965142,35.61387031
139.3523935,35.60689959
139.3810358,35.59224731
139.3933311,35.5864954
139.4199914,35.5722343
139.4282997,35.56235242
139.443339,35.57299175
139.4286709,35.57101469
139.4277876,35.57672775
139.4016418,35.60125155
139.4594943,35.58857862
139.4662704,35.59965493
139.50035,35.579011
139.486032,35.584693
139.48596,35.585243
139.4809216,35.58784448
139.454074,35.571888
139.4620809,35.56277102
139.4783434,35.55460497
139.476285,35.549651
139.4484835,35.54240892
139.452757,35.542842
139.4565651,35.55557374
139.4645521,35.51564663
139.459773,35.524909
139.471811,35.530428
139.4748798,35.51341177
139.476827,35.510339
139.4138157,35.57271236
139.4456016,35.56643737
139.4359604,35.56715753
139.4694568,35.59082219
139.4227958,35.56510728
139.3333318,35.60430536
139.3196688,35.60931825
139.3198017,35.60951415
139.2765802,35.6122812
139.387157,35.59763649
139.3805601,35.5989315
139.3663932,35.60810059
139.3540712,35.60590505
139.3644451,35.60279467
139.36902,35.59714835
139.416774,35.59505145
139.4109448,35.58777258
139.40188,35.5881534
139.402443,35.58682185
139.4140035,35.58639266
139.4226101,35.57372166
139.4225113,35.57210544
139.4158638,35.57851191
139.4241924,35.57298742
139.4367322,35.56838416
139.4366123,35.56859933
139.4126627,35.57130622
139.4285798,35.55513015
139.4464175,35.55753184
139.4471737,35.55696686
139.4471737,35.55696686
139.4354321,35.56514032
139.4453979,35.56776306
139.4501295,35.56749645
139.4464038,35.56786974
139.4512617,35.56731949
139.4712707,35.59081122
139.4703125,35.59085456
139.4789833,35.58284188
139.49196,35.57070192
139.4916773,35.57180049
139.4913035,35.57777488
139.4930652,35.57718338
139.465902,35.58984193
139.4673853,35.58887085
139.4532895,35.58890471
139.4386079,35.59192042
139.4377204,35.59194539
139.4403504,35.59224041
139.4417228,35.59298819
139.4457486,35.59143867
139.4386089,35.59192318
139.4437018,35.58330925
139.4440466,35.58244792
139.4483277,35.57919715
139.4488101,35.57992534
139.4432298,35.58101677
139.4385311,35.59827355
139.4538011,35.59807168
139.4543465,35.59778782
139.4547295,35.59773085
139.4547156,35.59818207
139.465798,35.60865785
139.4752811,35.59591838
139.4426539,35.54256943
139.4386545,35.54669228
139.439526,35.54646742
139.4326685,35.55527785
139.447122,35.54822334
139.4441454,35.55136772
139.4437069,35.55121958
139.4475692,35.54050928
139.4491748,35.5369899
139.4492485,35.54035593
139.4501544,35.5403913
139.4481321,35.54093763
139.4499238,35.54174822
139.4515229,35.54259031
139.4531667,35.54450784
139.4553386,35.54401651
139.4511683,35.54834149
139.4539212,35.54626132
139.4499542,35.54609523
139.4464663,35.54184621
139.4471666,35.54297405
139.4482203,35.54541891
139.4626898,35.55026735
139.4727757,35.54353038
139.4693299,35.54278613
139.4730628,35.53556167
139.4730256,35.53682154
139.4769298,35.53623535
139.479313,35.5359569
139.4846571,35.52709328
139.4824472,35.5204266
139.4642483,35.5359676
139.4659348,35.53345412
139.4666749,35.52385977
139.483665,35.53515186
139.4627289,35.56373092
139.4365583,35.56409302
139.4550658,35.54544614
139.4528191,35.54637398
139.4661973,35.51087305
139.4661278,35.50947826
139.4465087,35.57473776
139.4466059,35.57476788
139.4886551,35.57380757
139.3983522,35.59484071
139.4138148,35.58630765
139.3196646,35.60933497
139.4593878,35.58582606